ablation_type,ablation_details,pearson_corr,spearman_corr,pearson_delta,spearman_delta,pearson_p_value,spearman_p_value,pearson_ci_lower,pearson_ci_upper,spearman_ci_lower,spearman_ci_upper,pearson_mean_diff,spearman_mean_diff,observed_pearson_diff,observed_spearman_diff,pearson_mean_diff_boot,pearson_ci_95,pearson_p_value_boot,pearson_p_value_perm,spearman_mean_diff_boot,spearman_ci_95,spearman_p_value_boot,spearman_p_value_perm
dino_dim,dim_203,0.9580081600485244,0.9541032932838557,-6.784189837372168e-05,-4.85744572124025e-05,,,,,,,,,-6.784189837372168e-05,-4.85744572124025e-05,-6.753486414948781e-05,"(np.float64(-0.00020048792594344), np.float64(6.798905076758716e-05))",0.9951,0.1859,-4.833601007139534e-05,"(np.float64(-0.00023700643290431922), np.float64(0.00013962128184073988))",0.9968,0.4701
dino_dim,dim_204,0.9579268434316275,0.9538922169391422,-0.00014915851527064206,-0.0002596508019259147,,,,,,,,,-0.00014915851527064206,-0.0002596508019259147,-0.00014990781130196058,"(np.float64(-0.0003330648567323202), np.float64(3.0354578840872953e-05))",0.9916,0.0445,-0.0002599499312734761,"(np.float64(-0.0005709621274785736), np.float64(4.328058097907603e-05))",0.9981,0.0229
dino_dim,dim_205,0.9578828064203618,0.9539947005654834,-0.0001931955265362939,-0.00015716717558467153,,,,,,,,,-0.0001931955265362939,-0.00015716717558467153,-0.000192600547208936,"(np.float64(-0.00038573766806145325), np.float64(-8.883187426272977e-06))",0.9924,0.0106,-0.00015751021324151594,"(np.float64(-0.00036765165870323967), np.float64(5.330446560848442e-05))",0.9965,0.0434
dino_dim,dim_206,0.9575210282027782,0.952973667544094,-0.0005549737441199465,-0.0011782001969741218,,,,,,,,,-0.0005549737441199465,-0.0011782001969741218,-0.0005544818740475641,"(np.float64(-0.001137376231954057), np.float64(5.7709814744977464e-05))",0.9978,0.0281,-0.001177085975677977,"(np.float64(-0.0020582088076493647), np.float64(-0.0003814663977758324))",0.998,0.0002
dino_dim,dim_207,0.957890882772666,0.9539946141164125,-0.00018511917423214008,-0.00015725362465557335,,,,,,,,,-0.00018511917423214008,-0.00015725362465557335,-0.0001849730423816561,"(np.float64(-0.0003971257087032998), np.float64(1.84346516111157e-05))",0.9983,0.0239,-0.00015648209234598584,"(np.float64(-0.0004923219846975674), np.float64(0.00016062499129028374))",0.9947,0.1985
dino_dim,dim_208,0.9579309657889301,0.9539044128038191,-0.00014503615796801483,-0.00024745493724898093,,,,,,,,,-0.00014503615796801483,-0.00024745493724898093,-0.0001447576185355439,"(np.float64(-0.0003657011893183909), np.float64(7.6590326849288e-05))",0.9973,0.0947,-0.00024722580279459236,"(np.float64(-0.0005935266659537603), np.float64(9.602485448828006e-05))",0.9988,0.0538
dino_dim,dim_209,0.9580720164323715,0.9541884000069435,-3.985514526627654e-06,3.653226587541081e-05,,,,,,,,,-3.985514526627654e-06,3.653226587541081e-05,-3.5155283002301975e-06,"(np.float64(-0.000134193610511511), np.float64(0.0001309368555600946))",0.9907,0.9369,3.662938013237779e-05,"(np.float64(-0.00020050189428553856), np.float64(0.0002791086424407504))",0.9994,0.6884
dino_dim,dim_210,0.9580454674669867,0.9541413485979945,-3.053447991141489e-05,-1.0519143073595139e-05,,,,,,,,,-3.053447991141489e-05,-1.0519143073595139e-05,-3.069137059013252e-05,"(np.float64(-0.00014021963253056159), np.float64(8.17773315504176e-05))",0.9973,0.4816,-1.040631335751383e-05,"(np.float64(-0.0002125190370104224), np.float64(0.00018798983829583374))",0.999,0.8873
dino_dim,dim_211,0.958040656003449,0.9540900569007191,-3.534594344911657e-05,-6.181084034895257e-05,,,,,,,,,-3.534594344911657e-05,-6.181084034895257e-05,-3.5459910626256896e-05,"(np.float64(-0.00025690771534090827), np.float64(0.00018934494572804414))",0.9989,0.681,-6.172132585768516e-05,"(np.float64(-0.0004094674508452645), np.float64(0.00028104377391305335))",0.9997,0.6287
dino_dim,dim_212,0.9580551439453976,0.9541675218081805,-2.0858001500534407e-05,1.5654067112458314e-05,,,,,,,,,-2.0858001500534407e-05,1.5654067112458314e-05,-2.1174402817176585e-05,"(np.float64(-0.0002163524911048309), np.float64(0.0001767355393710132))",0.9968,0.791,1.5440843276524552e-05,"(np.float64(-0.0003178975627299485), np.float64(0.0003573048796438371))",0.9986,0.9062
